,P_2,D_39,B_1,B_2,R_1,S_3,D_41,B_3,D_42,D_43,D_44,B_4,D_45,B_5,R_2,D_46,D_47,D_48,D_49,B_6,B_7,B_8,D_50,D_51,B_9,R_3,D_52,P_3,B_10,D_53,S_5,B_11,S_6,D_54,R_4,S_7,B_12,S_8,D_55,D_56,B_13,R_5,D_58,S_9,B_14,D_59,D_60,D_61,B_15,S_11,D_62,D_63,D_64,D_65,B_16,B_17,B_18,B_19,D_66,B_20,D_68,S_12,R_6,S_13,B_21,D_69,B_22,D_70,D_71,D_72,S_15,B_23,D_73,P_4,D_74,D_75,D_76,B_24,R_7,D_77,B_25,B_26,D_78,D_79,R_8,R_9,S_16,D_80,R_10,R_11,B_27,D_81,D_82,S_17,R_12,B_28,R_13,D_83,R_14,R_15,D_84,R_16,B_29,B_30,S_18,D_86,D_87,R_17,R_18,D_88,B_31,S_19,R_19,B_32,S_20,R_20,R_21,B_33,D_89,R_22,R_23,D_91,D_92,D_93,D_94,R_24,R_25,D_96,S_22,S_23,S_24,S_25,S_26,D_102,D_103,D_104,D_105,D_106,D_107,B_36,B_37,R_26,R_27,B_38,D_108,D_109,D_110,D_111,B_39,D_112,B_40,S_27,D_113,D_114,D_115,D_116,D_117,D_118,D_119,D_120,D_121,D_122,D_123,D_124,D_125,D_126,D_127,D_128,D_129,B_41,B_42,D_130,D_131,D_132,D_133,R_28,D_134,D_135,D_136,D_137,D_138,D_139,D_140,D_141,D_142,D_143,D_144,D_145,default
P_2,1,-0.289601226,-0.37647358,0.600440537,-0.606620536,-0.379437517,-0.343439169,-0.456663427,-0.479779411,-0.362845844,-0.586425427,-0.44364487,0.367865798,0.087628789,-0.516880305,-0.182981116,0.428977028,-0.781585724,0.104313824,0.073299181,-0.52866966,-0.429928082,0.108025224,0.365543592,-0.614224212,-0.387032171,0.291645717,0.394459662,0.044471085,-0.425960066,-0.03945377,-0.347304923,0.094728263,0.241745796,-0.46631015,-0.413607434,0.032409991,0.210209741,-0.586671616,0.166679038,0.041546093,-0.344564391,-0.561663579,-0.052897588,-0.065940856,-0.281214802,0.091140827,-0.685920492,0.004198273,0.077696084,0.53536194,-0.038012793,-0.13603202,-0.115896962,-0.460595368,-0.488119651,0.622120569,-0.413854087,0.035002056,-0.449830537,0.314763818,-0.01506655,-0.243913029,0.124037313,-0.080971315,-0.014006742,-0.417811289,-0.383656974,0.108674838,-0.36393331,-0.282891742,-0.51285144,0.123995901,-0.335961809,-0.517114853,-0.553287925,0.172631504,-0.171230859,-0.167241976,0.524486597,-0.165947449,-0.024406335,-0.431467158,-0.218958853,-0.344550185,-0.190999968,-0.063305017,-0.052939194,-0.458083318,-0.209871954,-0.005013241,-0.354258516,-0.051399755,-0.039850151,0.196545274,-0.259623417,-0.257482449,-0.139536294,-0.083908382,-0.338791115,-0.382570613,-0.279308278,-0.064771946,-0.442052677,0.021046753,0.086474546,,-0.23335195,-0.013544613,-0.260344963,0.146903872,-0.015700011,-0.108734769,-0.169311602,-0.14003193,-0.28893619,-0.166901809,0.591470465,-0.294532694,-0.244536825,-0.01626697,0.166687227,0.210019861,0.073417773,0.101530406,-0.353835414,-0.147397609,0.076954782,-0.175392009,-0.150234643,-0.173342325,0.430686959,0.046876377,0.015625541,-0.117897572,-0.116845771,0.04880424,0.028586967,-0.115807113,-0.019555907,-0.376508552,-0.185554937,0.320696659,-0.4703877,-0.078298619,0.025833954,-0.110995341,-0.091267625,0.106597994,0.334444003,-0.030518486,0.01098008,-0.245395789,0.314964823,0.291129897,0.165565068,0.20271818,0.276949283,0.275159179,-0.157608991,0.296350973,0.24707076,-0.109600534,-0.049845622,-0.142460399,0.162115559,0.303629521,0.291589017,0.229612451,-0.136498802,0.145549691,-0.22171347,-0.232384708,0.097235294,-0.156978813,-0.023990667,0.176790149,-0.022995913,-0.068538519,0.00177003,0.004072328,-0.191445345,-0.159952569,-0.186690457,0.108468271,-0.191490881,0.009192077,-0.169307365,-0.627099838
D_39,-0.289601226,1,0.265913372,-0.287065811,0.323618269,0.087297875,0.602463856,0.279868983,0.151514326,0.078127981,0.2077926,0.247786651,0.065808122,0.102427595,0.342142321,0.065912778,0.002430249,0.2736312,0.023649349,-0.046758759,0.185983966,-0.02302248,-0.00768539,0.015981873,0.265251718,0.056901772,-0.030630092,-0.199911836,-0.031226312,0.186011973,0.17183487,0.259775086,-0.38712736,-0.425858351,0.302405039,0.138969098,0.059088505,0.264058955,0.2471007,0.030592449,0.092164034,0.254966834,0.209564118,0.02111478,0.266351335,0.028645708,0.17831548,0.237131988,0.183856037,0.156270934,-0.116053905,0.034873321,0.071164186,0.185731438,0.332232444,0.206329121,-0.347340233,0.148979386,-0.000797283,0.314956815,0.033310191,0.117726161,0.13864607,0.292761899,0.034342479,0.011563783,0.268495637,0.138276917,0.021622855,0.127795712,-0.143038881,0.191296399,0.044640239,-0.055635054,0.180605401,0.223794497,-0.030204761,0.150987593,0.12942361,-0.083457814,0.243668867,0.133952598,0.198784664,0.076359191,0.263035135,0.002657589,0.03691227,0.045438614,0.203796278,-0.004046912,0.034391049,0.170236961,0.178164624,0.054686051,-0.175954621,0.273861734,0.204143647,0.057026182,0.041138101,0.191904109,0.213618263,0.049738141,0.103715266,0.155751149,0.128054996,0.069899801,,0.143157249,0.006530433,-0.053825954,-0.14333211,0.00175256,0.126944619,0.022472197,0.051567851,0.11114078,0.065402606,-0.39553154,0.19261779,0.091737195,0.022723697,0.035612507,0.06733298,-0.003673764,0.010412465,0.141964545,0.132689853,0.104579852,0.285200962,0.109848872,0.294385787,-0.187265457,0.066105148,0.074404738,0.090868526,0.090994592,0.041211798,0.003748272,0.098699503,0.054351008,0.26387809,0.043982579,-0.070014328,0.323559431,0.02749902,-0.00999871,-0.010189849,0.015164422,-0.075290091,-0.508026796,0.008809709,0.036338488,0.019978572,0.038451777,-0.036693896,0.073406631,0.016611185,-0.030133092,-0.029939443,0.078158797,0.011718956,-0.001653257,0.011161038,0.076123244,0.013359513,0.050205415,0.046148965,0.031146979,0.043620169,0.107005059,-0.029433102,0.069327601,0.077152129,0.022778953,0.06244774,-0.003290691,-0.063236882,-0.047077711,-0.050801402,-0.005461867,0.054071991,0.047688589,0.034222679,0.047731183,0.01505983,0.047664189,0.016482552,0.035305348,0.296406299
B_1,-0.37647358,0.265913372,1,-0.693535735,0.308184925,0.181765436,0.217099584,0.761812355,-0.048655551,0.084862918,0.340871054,0.504673244,-0.11934676,-0.06428988,0.164900022,0.165505711,-0.119223074,0.448052062,0.025065181,-0.065700855,0.652532848,0.141479728,-0.060732313,-0.193451204,0.565328284,0.069990929,-0.125120086,-0.224559358,-0.04488491,0.099910584,0.066554944,0.995997544,-0.151503077,-0.058606731,0.162888207,0.163649221,-0.038103538,-0.034557589,0.416143651,-0.108935836,-0.031081597,0.112869081,0.38718601,0.067860419,0.230466311,0.088949873,0.088958364,0.400472403,0.006409968,-0.037843875,-0.283541276,0.082100965,0.043003971,0.063603325,0.608458362,0.472155026,-0.61212914,0.758026095,-0.00975218,0.643901742,-0.077000854,0.001282167,0.108202562,-0.052099662,0.120033218,0.000441253,0.703267154,0.231840249,-0.098881095,0.064855283,0.065533046,0.653515897,0.095673641,0.063593556,0.31648475,0.38116648,-0.143029342,0.053708025,0.073366669,-0.253176449,0.535004123,-0.007547988,0.188361435,0.138123401,0.124276779,-0.032935826,0.079678112,0.058750638,0.205423406,0.035558893,-0.001554747,0.081962266,-0.046043273,0.048811773,-0.061316936,0.350031922,0.082729054,0.020897929,0.02227077,0.13044915,0.099762121,0.061516799,-0.006616975,0.757557112,-0.031217256,-0.057205674,,0.060096139,0.002914127,0.212657508,-0.055332529,0.022983254,0.2644686,0.198099589,0.129003419,0.052904337,0.145223286,-0.639790018,0.084226034,0.058040727,0.015337233,-0.100713663,-0.155839973,-0.016238862,-0.075908779,0.07824673,0.058499783,-0.062063855,0.17633221,0.091150606,0.178579179,-0.258942431,-0.04073775,0.054061433,0.095581979,0.095899071,0.040777431,0.007414837,0.089906866,0.068222746,0.996209287,0.001075367,-0.080101612,0.657790376,0.010672953,-0.017253439,0.181980074,0.219417218,-0.194156337,-0.148990986,0.01737354,0.100024534,0.06081459,-0.079368005,-0.083202477,-0.042764569,-0.066143791,-0.080687936,-0.079755153,0.025571383,-0.066860737,-0.059324876,0.026984908,0.037866764,0.031365103,-0.020962376,-0.167020837,-0.036379844,-0.001361449,0.037551057,-0.101114081,0.147235463,0.151047552,0.037034674,0.120476585,0.075352815,0.508601029,-0.016187885,-0.027169487,-0.011779188,-0.016118319,0.106281497,0.059162289,0.10569319,0.008472358,0.106283523,0.039962064,0.079417339,0.405384086
B_2,0.600440537,-0.287065811,-0.693535735,1,-0.431453499,-0.278514956,-0.297196335,-0.782213481,-0.117605595,-0.180911762,-0.503321633,-0.565269212,0.188105223,0.127665765,-0.288059682,-0.171784628,0.205000351,-0.648945077,0.041271064,0.092226556,-0.668364642,-0.228096638,0.100750135,0.357456405,-0.698845477,-0.170200222,0.233050228,0.276414857,0.068434488,-0.184693115,-0.074974398,-0.665768016,0.122017632,0.123509769,-0.27467074,-0.261439525,0.059674408,0.221886957,-0.584233028,0.176329861,0.076530425,-0.193517991,-0.590552563,-0.050415448,-0.179973321,-0.148003358,0.081333021,-0.58521922,-0.019988475,0.113338609,0.45852824,-0.128868102,-0.122609743,-0.055387228,-0.851824765,-0.735600623,0.882768784,-0.707151017,0.030653719,-0.847218148,0.087967724,0.068589615,-0.148409052,0.211276473,-0.089936765,-0.003328729,-0.738780159,-0.384415837,0.152778894,-0.153063325,-0.234840749,-0.659497286,0.033633868,-0.124924558,-0.517271982,-0.610054142,0.211503353,-0.076319426,-0.097649118,0.413162514,-0.386172508,-0.009330432,-0.306383348,-0.20829702,-0.208118453,0.021107373,-0.07040231,-0.054197615,-0.336311055,-0.108366379,-0.001705926,-0.166698755,0.032144987,-0.031945563,0.100496628,-0.365554849,-0.137715094,-0.056586087,-0.035994574,-0.191908684,-0.189223997,-0.137506779,-0.055514132,-0.746390943,0.049436472,0.098580159,,-0.11551433,-0.001916501,-0.350515987,0.073446429,-0.013626624,-0.207577195,-0.309351124,-0.142385226,-0.128575168,-0.16695742,0.948069287,-0.150787086,-0.121118421,-0.012585494,0.195643814,0.327325794,0.027199041,0.129806497,-0.168125777,-0.070653483,0.1089432,-0.16270443,-0.117877488,-0.159960749,0.390055394,0.073740848,-0.074966874,-0.154905413,-0.155087623,-0.041189412,0.018157242,-0.143807471,0.003884641,-0.697091779,-0.080426177,0.183821917,-0.765170829,0.000637648,0.028171708,0.004622772,-0.049206165,0.059685273,0.275531319,-0.022576646,0.037278029,-0.099128745,0.119248325,0.130138738,0.004822608,0.110393376,0.122605925,0.121129392,-0.121453854,0.115670688,0.113802849,-0.043468756,-0.048209387,-0.05162851,0.023828781,0.302352357,0.108283806,0.048446571,-0.063664155,0.154770717,-0.223756997,-0.228087392,-0.015388238,-0.178758738,-0.037670828,-0.165069192,0.009658739,0.01134908,0.020673738,0.023542504,-0.169285788,-0.113318572,-0.167407841,0.015983034,-0.1693345,-0.045646449,-0.135048453,-0.532716816
R_1,-0.606620536,0.323618269,0.308184925,-0.431453499,1,0.310955428,0.358726059,0.362972071,0.256205856,0.282379163,0.534161086,0.390270251,-0.172725705,-0.051260463,0.74222373,0.140672599,-0.165866648,0.542164347,-0.013459151,-0.048854807,0.3888001,0.212587156,-0.055354878,-0.193319588,0.454395757,0.269868428,-0.16772567,-0.531622543,-0.03167384,0.574546407,0.05528546,0.293545463,-0.099200413,-0.228888272,0.73761264,0.309895615,-0.014790179,-0.122546739,0.459533731,-0.088008961,-0.015280935,0.60096933,0.445354432,0.048879548,0.095627511,0.141979879,-0.10564993,0.456568192,0.023619652,-0.050264926,-0.277418081,0.054873656,0.081148973,0.071474727,0.32986222,0.314468313,-0.438010679,0.303005645,-0.026712063,0.327561683,-0.10278589,0.011714945,0.397031762,-0.075657021,0.254289811,0.008703337,0.338328432,0.322727227,-0.065573943,0.416476794,0.17951267,0.391040711,-0.03473286,0.148851112,0.428405971,0.453119488,-0.115183995,0.21908719,0.276727518,-0.279087983,0.177458323,0.028226788,0.591148178,0.189674686,0.581299336,0.056083313,0.224435632,0.088821619,0.675458156,0.136595601,0.007453742,0.495628387,0.030722775,0.051924839,-0.22459999,0.298804427,0.470836541,0.085806343,0.138366867,0.550907543,0.601065955,0.223858075,0.055385384,0.331820086,0.004042837,-0.042386922,,0.412950091,0.022821347,0.191433812,-0.196574047,0.074060783,0.281344601,0.090418719,0.380381501,0.476562741,0.446398225,-0.419850952,0.503594015,0.208299051,0.035063324,-0.09030593,-0.122289126,-0.023924253,-0.058180719,0.561149121,0.207235653,-0.036661974,0.129439491,0.134880539,0.126618559,-0.376770677,-0.026107351,0.043041811,0.116384629,0.116147088,0.014798305,-0.004681971,0.121541247,0.018516989,0.308743178,0.181403585,-0.234127583,0.33595919,0.055080594,-0.012528442,0.059551565,0.060978609,-0.010884055,-0.299333026,0.016768604,-0.018421633,0.103265584,-0.101765941,-0.119993903,-0.030713331,-0.087674225,-0.108169358,-0.107009675,0.135988114,-0.084899925,-0.096391615,0.053108916,0.075233128,0.069344957,-0.024604355,-0.1508384,-0.093821834,-0.05548966,0.15049578,-0.092640682,0.173722258,0.188596006,-0.016732823,0.13496126,0.059112914,-0.070523697,-0.007991417,0.000764428,0.007187224,0.041720642,0.112620717,0.101172703,0.110890639,-0.011154758,0.112682464,0.005233321,0.09956203,0.521124161
S_3,-0.379437517,0.087297875,0.181765436,-0.278514956,0.310955428,1,0.10160138,0.14040926,0.202046986,0.213567495,0.210949815,0.151395522,-0.208848309,-0.107575776,0.175402612,0.109631683,-0.266538319,0.324440141,-0.061677656,-0.042850119,0.211948742,0.252454089,-0.079426994,-0.272652045,0.256080138,0.243643057,-0.200086834,-0.20985861,-0.020419555,0.097042003,0.04828082,0.16451671,0.08693322,-0.078751754,0.153012518,0.913389716,-0.035582423,-0.471899681,0.184718824,-0.181462253,-0.048584641,0.119973828,0.207905688,0.049440727,-0.017595318,0.207049063,-0.091204498,0.2760457,-0.021660254,-0.208185294,-0.295057627,0.037581284,0.039149089,0.058790832,0.129633332,0.199381515,-0.266649729,0.155795326,-0.083807183,0.131623214,-0.192643635,0.02693802,0.060001481,-0.220988419,0.209918344,-0.000681614,0.175486324,0.161894942,-0.085734138,0.096729796,0.621706667,0.192528245,-0.136113845,0.277543036,0.193189266,0.211838348,-0.123988282,0.106071171,0.033744804,-0.309289721,0.004487976,0.012915345,0.167273057,0.121956223,0.127492563,0.005734717,0.181278697,-0.005309958,0.189970988,0.147868621,0.001965234,0.08620799,0.033871298,0.103174059,-0.10479893,0.021962123,0.094948309,0.045763103,0.012248313,0.176304807,0.11318963,0.181043804,0.08442055,0.194313421,0.012270809,-0.113298573,,0.074703449,0.002663741,0.02212087,-0.091634318,0.075650855,-0.0025743,0.037593812,0.264586651,0.093326352,0.277529852,-0.26097091,0.090133422,0.063508366,0.010896407,-0.162355246,-0.200804172,-0.022983986,-0.079786152,0.118717786,0.094088418,-0.122447155,0.035296871,0.068432069,0.029733639,-0.141932525,-0.079413205,-0.015463737,0.064523558,0.064018456,-0.03344777,-0.02056692,0.056008016,0.01171101,0.181364231,0.064939042,-0.209747593,0.153446013,0.090596654,-0.018070049,0.00690257,0.03156151,-0.023030045,-0.08896288,0.008391804,0.152612154,0.097647079,-0.232008093,-0.12523635,-0.154077948,-0.192059216,-0.11644966,-0.115463115,0.093885813,-0.194417825,-0.162142018,0.047601424,-0.054777798,0.059140921,-0.148319634,-0.23282555,-0.193764795,-0.135300811,0.084301185,-0.120864981,0.121099536,0.132030774,-0.080394022,0.079281403,0.098615261,0.021364308,0.00999873,0.023191804,0.013149306,0.058898026,0.053976829,0.075084007,0.051439137,-0.085618918,0.054080573,-0.024158279,0.049495315,0.36259698
D_41,-0.343439169,0.602463856,0.217099584,-0.297196335,0.358726059,0.10160138,1,0.277177299,0.096841413,0.074916456,0.186158545,0.176205969,-0.006549767,0.021943239,0.414435225,0.019314207,-0.039516381,0.284410028,0.000912078,-0.031901631,0.189686837,0.029764351,-0.017066187,-0.085337645,0.262278115,0.047425077,-0.050238515,-0.212668122,-0.021721677,0.19793566,0.069162067,0.211539996,-0.110090986,-0.603597113,0.382680726,0.129127865,0.026698543,-0.021379362,0.245351503,-0.004146725,0.036306335,0.286406621,0.171477283,0.029701681,0.145966925,0.044311579,0.049082107,0.24145015,0.091418455,0.045467344,-0.140420419,0.046208352,0.071059402,0.190427376,0.282711624,0.163301642,-0.292581784,0.164786081,0.001369129,0.281850327,0.010492176,0.012382213,0.175547362,0.024606784,0.022377437,0.020125795,0.176448387,0.09294627,-0.009205121,0.185737704,0.044731476,0.188004572,0.039083863,-0.03957928,0.139881154,0.173321359,-0.044917544,0.19557012,0.161906901,-0.118972439,0.153284039,0.167312995,0.252099907,0.061758305,0.297613099,0.025987826,0.023042594,0.009543998,0.229949133,-0.016795286,0.03159862,0.251044029,0.07537257,0.018325029,-0.215949822,0.167706981,0.220300409,0.06450259,0.051217889,0.209383896,0.271447562,0.041149806,0.062010127,0.145008537,0.083571064,0.002433634,,0.167919323,0.005840348,-0.044452701,-0.156206826,-0.001463582,0.072642044,0.108517177,0.03966791,0.147175549,0.051585882,-0.31917735,0.238454523,0.161109032,0.0155371,-0.025321056,-0.06903345,-0.006571314,-0.014616466,0.190903075,0.164641272,0.033719689,0.091352409,0.142520892,0.09133159,-0.252365298,0.019545457,0.046130079,0.06415794,0.064412798,0.035689012,-0.001006627,0.068168578,0.00603997,0.217787757,0.05865056,-0.073457524,0.278364367,0.021717385,-0.009707754,0.034932983,-0.008741908,-0.019305991,-0.680210567,0.008178619,-0.035005888,0.034604518,0.012842813,-0.04459592,0.05966729,-0.006264483,-0.038807199,-0.038747751,0.068872601,-0.02244112,-0.022137041,0.012513517,0.047124068,0.019164203,0.027915764,-0.051276953,-0.00316719,0.007447997,0.158730373,-0.034258345,0.06523636,0.063300753,0.026395794,0.055721933,-0.004757055,-0.024194197,-0.027217447,-0.072417797,0.008125928,0.058928816,0.055020572,0.040926593,0.054492235,0.002283117,0.055030845,0.012834886,0.04598542,0.287034
B_3,-0.456663427,0.279868983,0.761812355,-0.782213481,0.362972071,0.14040926,0.277177299,1,0.06308384,0.099782431,0.47888068,0.579531183,-0.054636737,-0.065490393,0.236942069,0.133677956,-0.093308006,0.546212574,0.007997278,-0.074508202,0.660091233,0.074581195,-0.069834276,-0.216052324,0.594190733,0.04429393,-0.145538062,-0.193689414,-0.049504137,0.145937433,0.072318117,0.751069285,-0.191480476,-0.093317242,0.229901679,0.107421015,-0.03287925,-0.106205493,0.573751577,-0.118919187,-0.04223498,0.158414336,0.522108934,0.032580119,0.235531728,0.058229671,-0.016871619,0.488037437,0.063541749,-0.043272463,-0.325167193,0.08302862,0.143076359,0.037879946,0.768228882,0.545949862,-0.703709235,0.82950911,0.005024419,0.80688816,0.030853055,-0.043681874,0.129552038,-0.129703235,0.054763698,0.00238129,0.83005015,0.301982363,-0.100092727,0.123363574,0.105788719,0.668226635,0.019271918,-0.098322282,0.451735299,0.522317598,-0.160706575,0.071240156,0.096099608,-0.27676946,0.425822057,0.007301402,0.288269662,0.161082742,0.173055846,0.007904792,0.046985178,0.043934125,0.300903726,0.022434699,0.001994555,0.149064957,0.001684238,0.030129181,-0.097956926,0.412620202,0.111765434,0.032358512,0.034541972,0.128906038,0.155599709,0.059365348,0.01723715,0.824618655,-0.020801025,-0.05063437,,0.091267664,0.000835647,0.078631687,-0.060004352,0.005425969,0.275641834,0.345417915,0.087685112,0.097659388,0.100733502,-0.728958501,0.127033637,0.115374009,0.013421968,-0.111586297,-0.178958813,-0.01786249,-0.080869482,0.129941199,0.066312766,-0.060721643,0.15553388,0.122619246,0.156420418,-0.359367998,-0.040904121,0.072988923,0.109632691,0.110221033,0.062843588,-0.002829175,0.103785299,0.001322446,0.765365208,0.037871732,-0.103215653,0.762161847,-0.003334643,-0.016818556,0.00821498,0.075511241,-0.032363208,-0.220125264,0.023134898,-0.112042302,0.054570119,-0.001643024,-0.074779793,0.119675229,-0.026464993,-0.071984587,-0.071399133,0.094458906,-0.05055305,-0.054325551,0.020124295,0.049518615,0.020646147,0.051782978,-0.187758412,-0.037380569,-0.002220877,0.049329706,-0.114969535,0.172753455,0.173527204,0.068206536,0.149646902,0.001761252,0.252671218,-0.030484307,-0.022202293,-0.031275129,-0.0384771,0.134447187,0.084679907,0.133572022,0.016205906,0.134461847,0.046369046,0.107373718,0.437841777
D_42,-0.479779411,0.151514326,-0.048655551,-0.117605595,0.256205856,0.202046986,0.096841413,0.06308384,1,0.236879215,0.315349869,0.059789529,-0.06534353,-0.088556776,0.192439275,0.07922015,-0.205732741,0.397648588,-0.066480169,-0.023544322,0.090236876,0.027677272,-0.088827886,-0.167387054,0.177928048,0.305831173,-0.047497269,-0.210198674,-0.001968022,0.105336933,-0.005087478,-0.060347468,0.00136001,-0.110506127,0.161793077,0.185427104,-0.051142951,-0.185275824,0.20433847,-0.18675752,-0.064396313,0.13911284,0.173655028,0.023164197,-0.075979371,0.148686135,-0.033535618,0.242426133,0.047759718,-0.050310605,-0.306108827,-0.091280957,0.046864556,0.081479756,0.04092474,0.182171805,-0.137164894,-0.001514796,-0.081250231,0.060234947,-0.100561361,0.011240902,0.060352187,-0.10443116,0.030602971,1.33E-05,0.033018399,0.153118695,-0.023938387,0.131852191,0.212620334,0.077672649,-0.078612253,0.071800326,0.196549382,0.194114355,-0.166023559,0.092463052,0.041137046,-0.288070817,-0.130926724,0.054514096,0.255140753,0.170522976,0.144426473,0.064773188,0.017334701,-0.056470836,0.243341685,0.154027083,0.003156221,0.104229578,0.156336166,0.016978838,-0.093489055,-0.003745342,0.113014874,0.085149237,0.02745364,0.134206515,0.143723091,0.206899812,0.053938572,0.029260662,-0.007627106,-0.038959561,,0.08293368,0.000618986,-0.020473201,-0.085767626,0.00018039,-0.01351713,-0.006286947,0.063145421,0.114581506,0.080107176,-0.12401509,0.11058431,0.079760828,0.009128841,-0.076119842,-0.060386023,-0.027486468,-0.026131255,0.134669956,0.084799649,-0.033493777,0.048734556,0.033578395,0.043026546,-0.175574367,-0.062007335,-0.049113733,0.067622124,0.066444636,-0.059966411,-0.013916302,0.072491607,0.001549239,-0.048811833,0.162901862,-0.272667162,0.035174418,0.056385088,-0.007197267,0.06379907,-0.04502279,-0.046201588,-0.113960057,0.013327536,-0.09406022,0.086835385,-0.131188913,-0.124761313,-0.055295337,-0.103562338,-0.115987787,-0.115973059,0.075679018,-0.056910517,-0.130895368,0.046320858,0.044588562,0.074955492,-0.027172123,-0.105477047,-0.187202405,-0.152999162,0.056001235,-0.084953688,0.142512239,0.172096311,-0.049310756,0.101313799,-0.009285396,-0.175950664,0.026865043,0.070684765,0.005780546,0.015261649,0.019085664,0.054582769,0.01692411,-0.057726944,0.01919866,-0.056662574,0.028490855,0.327243993
D_43,-0.362845844,0.078127981,0.084862918,-0.180911762,0.282379163,0.213567495,0.074916456,0.099782431,0.236879215,1,0.283217263,0.129475059,-0.236943636,-0.031774824,0.149637179,0.17183767,-0.227451784,0.271023704,-0.004890666,-0.022544131,0.125033407,0.272712891,-0.036367976,-0.141135391,0.232916835,0.763995726,-0.149660235,-0.182096603,-0.00886611,0.101679208,0.027940219,0.073204071,-0.026163544,-0.038973187,0.144190983,0.232933529,0.001455193,-0.108787003,0.195526182,-0.062360365,0.004843308,0.140301661,0.247814079,0.056069996,0.02585923,0.158959735,-0.071367776,0.243052088,0.0115162,-0.053111143,-0.18916171,0.079489747,0.043046436,0.040554207,0.110935208,0.134120358,-0.21019904,0.09396588,-0.036251648,0.083246699,-0.215298363,0.031274012,0.066896936,-0.049478564,0.055202192,0.00644645,0.118023839,0.210891756,-0.040406234,0.086310706,0.155976268,0.118490461,0.001452262,0.23587817,0.264103951,0.270168642,-0.028342425,0.096038523,0.050545559,-0.214973016,0.038238631,0.022157897,0.202814015,0.199860989,0.151536541,-0.00489405,0.04528567,0.140856772,0.261801079,0.41740145,0.004215586,0.077083003,-0.004378632,0.032899745,-0.099451233,0.094092114,0.114101717,0.064931043,0.017652376,0.145341574,0.117305478,0.749897378,0.070534253,0.119182102,0.032531479,-0.031197431,,0.082010896,0.001491475,-0.034081748,-0.084602374,0.018947259,0.027487954,0.017139693,0.09100695,0.087745764,0.108101609,-0.186417027,0.099224364,0.054877327,0.024702504,-0.060446831,-0.083281574,-0.027580388,-0.04271619,0.102268301,0.088068551,-0.028190035,0.081673893,0.063155998,0.08208708,-0.165341092,-0.013942188,-0.000926135,0.144588587,0.14209173,-0.091858795,-0.003013292,0.175854691,0.040023192,0.081958194,0.218632734,-0.283699663,0.118783088,0.139600161,-0.011515643,0.107252658,0.059694607,0.012516214,-0.065554987,0.004092423,0.027457725,0.154844646,-0.179668328,-0.153212186,-0.161147303,-0.112596815,-0.142559386,-0.14131698,0.204736134,-0.154927431,-0.125078526,0.084749579,0.061553501,0.100091792,-0.085632989,-0.11963059,-0.146833101,-0.107640379,0.073237348,-0.074309687,0.165310771,0.191491379,-0.099995311,0.105672497,0.02130714,-0.09451935,0.045437468,0.202054034,-0.004371234,-0.009408555,0.084658112,0.083279727,0.081743442,-0.064061589,0.084683833,-0.011606264,0.078140724,0.33612767
